UserName,UserAvatar,Content,Image,Type,Likes,LikedBy,CreatedAt,Status,Featured,PinnedBy
alexgonzagaofficial,,ALEX NATION! Big announcement — we're having a FAN ART CONTEST! Submit your best Alex Gonzaga fan art and the top 3 will be featured in my next vlog! Tag your entries with #AlexFanArt. Deadline is April 15!,,Post,1520,"[]",2026-03-25,Approved,true,admin
kuya_art,,Check out my latest digital painting of Alex! Took me 20 hours to finish this. Hope she sees it!,,Fan Art,512,"[]",2026-03-24,Approved,true,
jollibee_memes,,When Alex said "Charot!" for the 500th time in one vlog and we still laughed every single time,,Meme,389,"[]",2026-03-24,Approved,false,
manilaFanGirl,,Just rewatched Alex's wedding vlog for the 100th time and I'm still crying!!! Why is she so funny even on her wedding day?!,,Post,234,"[]",2026-03-23,Approved,false,
dave_cebufan,,Question for the community: What's your all-time favorite Alex vlog? I need to make a definitive ranking! Drop your top 3 below!,,Question,156,"[]",2026-03-23,Approved,false,
angel_iligan,,Story time: I met Alex at a mall event in Iligan last month and she was SO nice! She took photos with everyone and even stayed extra 30 minutes. Queen behavior!,,Story,445,"[]",2026-03-22,Approved,true,
sketch_by_sam,,Drew Alex in her iconic pink outfit from the Charot music video! Watercolor on paper.,,Fan Art,367,"[]",2026-03-22,Approved,false,
reyesJM,,Alex's energy is literally what gets me through Monday mornings at work. The "Charot Lang" merch just arrived and my officemates are jealous!,,Post,167,"[]",2026-03-21,Approved,false,
lovelyLiza_ph,,My students asked who my favorite Filipino celebrity is and when I said Alex Gonzaga they all started doing the "Charot!" They're all fans too!,,Post,201,"[]",2026-03-20,Approved,false,
chrisnav_edits,,Made an edit compilation of Alex's best reactions this year! Link in bio. Hope you all enjoy it!,,Edit,298,"[]",2026-03-20,Approved,false,
