Name,Slug,Description,Price,Images,Category,Sizes,Stock,IsLimitedDrop,DropName,DropDate,DropEndDate,CatchphraseOrigin,Status,SortOrder
"Charot Lang" Hoodie,charot-lang-hoodie,Premium oversized hoodie with "Charot Lang" embroidered in pink thread. Super soft fleece interior.,1299,,Apparel,"XS,S,M,L,XL,XXL",150,true,Charot Lang Collection,2026-04-02,2026-04-09,Alex's iconic "Charot!" catchphrase,Active,1
"Ate Girl" Tee,ate-girl-tee,Classic fit t-shirt with "Ate Girl" graphic in gradient pink-to-purple. 100% cotton.,599,,Apparel,"XS,S,M,L,XL",500,false,,,,,Active,2
Alex Nation Cap,alex-nation-cap,Structured dad cap with "Alex Nation" embroidered logo. Adjustable strap. One size.,449,,Accessories,One Size,300,false,,,,Alex Nation fan community,Active,3
"Walang Kupas" Mug,walang-kupas-mug,Ceramic mug with "Walang Kupas" design. 11oz capacity. Microwave and dishwasher safe.,349,,Home & Lifestyle,One Size,400,false,,,,Alex's "walang kupas" energy,Active,4
"GRWM with Alex" Tote Bag,grwm-tote-bag,Canvas tote bag with "GRWM with Alex" print. Perfect for daily use.,399,,Accessories,One Size,350,false,,,,Get Ready With Me vlogs,Active,5
Alex Gonzaga Sticker Pack,alex-sticker-pack,Set of 12 vinyl stickers featuring Alex's iconic expressions and catchphrases. Waterproof.,149,,Stickers & Fun,One Size,1000,false,,,,Various Alex moments,Active,6
"Lodi" Phone Case,lodi-phone-case,"Phone case with ""Lodi"" design. Available for iPhone and Samsung. Slim fit with raised edges.",499,,Accessories,"iPhone 15,iPhone 14,Samsung S24",250,false,,,,Alex calling fans "Lodi",Active,7
"Gonzaga Strong" Crew Neck,gonzaga-strong-crew,Premium crew neck sweatshirt with "Gonzaga Strong" embroidered in gold thread.,899,,Apparel,"S,M,L,XL",100,true,Charot Lang Collection,2026-04-02,2026-04-09,Gonzaga family pride,Active,8
Alex G Enamel Pin Set,alex-enamel-pins,Set of 4 enamel pins: star icon and Alex catchphrase designs. Gold plated.,249,,Accessories,One Size,500,false,,,,Alex's personality,Active,9
"Charot Lang" Bucket Hat,charot-bucket-hat,Reversible bucket hat with "Charot Lang" on one side and Alex G logo on the other.,549,,Accessories,One Size,80,true,Charot Lang Collection,2026-04-02,2026-04-09,Alex's iconic catchphrase,Active,10
Fan Club Lanyard,fan-club-lanyard,Official Alex Nation fan club lanyard with detachable buckle and card holder.,199,,Accessories,One Size,600,false,,,,Alex Nation membership,Active,11
"Ate Girl" Laptop Sleeve,ate-girl-laptop-sleeve,"Neoprene laptop sleeve with ""Ate Girl"" design. Fits 13-15 inch laptops.",699,,Accessories,"13 inch,15 inch",0,false,,,,Ate Girl era,Sold Out,12
