Title,YouTubeID,YouTubeURL,Thumbnail,Description,Category,Mood,PublishDate,Duration,ViewCount,Featured,Tags,Season
My Most Embarrassing Moment EVER (Grabe!),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Nag-share ako ng pinaka-embarrassing moment ko sa buong buhay ko! Handa ka na ba?,Comedy,"Funny,Chaotic",2026-03-20,15:42,2100000,true,"embarrassing,storytime,funny",2026 Vlogs
Surprising Toni With Her Birthday Gift! (Umiyak!),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Hindi niya expected yung surprise ko! Watch until the end para sa reaction ni Toni!,Family,"Emotional,Wholesome",2026-03-15,22:08,4800000,true,"toni,birthday,surprise,sisters",2026 Vlogs
Ultimate Filipino Street Food Challenge (Sobrang Sarap!),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Kinain ko lahat ng street food sa Quiapo! Who can relate?,Mukbang,"Funny,Wholesome",2026-03-10,18:55,3500000,true,"mukbang,street food,challenge",2026 Vlogs
GONZAGA FAMILY REUNION 2025 (Complete Chaos!),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,The whole Gonzaga clan in one place! Ano na nangyari? Watch to find out!,Family,"Chaotic,Funny,Wholesome",2025-12-28,28:14,8200000,true,"family,reunion,gonzaga,christmas",2025 Vlogs
I Tried Every Viral TikTok Trend (Fail!),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Sinubukan ko lahat ng viral TikTok trends. Spoiler: maraming fail!,Challenges,"Funny,Chaotic",2026-03-05,16:30,1800000,false,"tiktok,trends,challenge,viral",2026 Vlogs
24 Hours Saying YES to Everything!,dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,For 24 hours sinabi ko YES sa lahat! Ano kaya nangyari?,Challenges,"Chaotic,Funny",2026-02-28,20:15,2900000,false,"24hours,yes challenge,dare",2026 Vlogs
GRWM: Wedding Anniversary Date Night,dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Get ready with me for our anniversary date night! Plus makeup tutorial!,GRWM,"Wholesome,Kilig",2026-02-20,14:22,1500000,false,"grwm,makeup,anniversary,date",2026 Vlogs
Answering Your Most Juicy Questions (Q&A Part 5),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Finally answering the questions you've been dying to ask! No filter!,Q&A,"Funny,Savage",2026-02-14,19:45,2200000,false,"q&a,questions,answers,no filter",2026 Vlogs
Epic Prank on My Manager! (Nagalit Siya!),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Pinanrank ko si Manager! Hindi siya natuwa initially pero tawang tawa siya sa dulo!,Pranks,"Funny,Chaotic,Savage",2026-02-10,12:30,3100000,false,"prank,manager,funny,revenge",2026 Vlogs
Exploring Siargao with the Squad!,dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Beach trip with the barkada sa Siargao! Surfing at island hopping!,Travel,"Wholesome,Inspirational",2026-02-01,25:18,1900000,false,"siargao,travel,beach,surfing",2026 Vlogs
Collab with Mimiyuuuh! (Laughtrip To!),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Finally nag-collab kami ni Mimiyuuuh! Chaotic energy times two!,Collabs,"Funny,Chaotic",2026-01-25,17:40,5200000,false,"mimiyuuuh,collab,funny,chaos",2026 Vlogs
My Honest Life Update (Storytime),dQw4w9WgXcQ,https://youtube.com/watch?v=dQw4w9WgXcQ,,Real talk tayo today. Sharing my journey and lessons learned this year.,Storytime,"Emotional,Inspirational",2026-01-18,23:55,1400000,false,"storytime,real talk,life update,honest",2026 Vlogs
