Title,Description,Category,Mood,Duration,Views,Likes,PublishDate,Featured,YoutubeUrl
Toni Talks Prank by Alex Gonzaga,"Alex pulls a hilarious prank involving Toni in a talk show setup that goes completely off the rails.",pranks,savage,,6300000,98000,2026-01-25,true,https://www.youtube.com/@AlexGonzagaOfficial
Rumaket sa BGC by Alex Gonzaga,"Alex hits the streets of BGC for an epic food crawl and spontaneous encounters with fans.",mukbang,funny,,4800000,72000,2026-01-11,false,https://www.youtube.com/@AlexGonzagaOfficial
Sosyalang Foodtrip by Alex Gonzaga,"A fancy food trip with a hilarious twist — Alex tries upscale dining with her signature humor.",mukbang,funny,,4900000,55000,2026-01-04,false,https://www.youtube.com/@AlexGonzagaOfficial
First Christmas In Our New Home by Alex Gonzaga,"Alex and Mikee celebrate their very first Christmas in their new home — new traditions and lots of love.",family,wholesome,,4700000,61500,2025-12-28,true,https://www.youtube.com/@AlexGonzagaOfficial
Leche Flan with Ate by Alex Gonzaga,"Alex and Toni attempt to make the perfect leche flan — expect kitchen chaos and sibling banter.",family,funny,,2200000,22800,2025-12-21,false,https://www.youtube.com/@AlexGonzagaOfficial
Factory Worker For A Day by Alex Gonzaga,"Alex spends a full day working at a factory to experience what it's really like — harder than she thought!",challenges,chaotic,18:32,5300000,23200,2025-12-10,false,https://www.youtube.com/@AlexGonzagaOfficial
Dampa Mukbang by Alex Gonzaga,"A massive seafood mukbang at the dampa with friends — gone wrong when grocery shopping takes over.",mukbang,funny,,5200000,74400,2025-12-03,true,https://www.youtube.com/@AlexGonzagaOfficial
Nose Implant Removal by Alex Gonzaga,"Alex opens up about removing her Gore-Tex nose implant after two years — honest and raw.",storytime,emotional,,3500000,45000,2025-09-16,false,https://www.youtube.com/@AlexGonzagaOfficial
Construction Update by Alex Gonzaga,"A hilarious update on the house construction — everything that could go wrong did go wrong.",family,chaotic,,2800000,35000,2025-08-15,false,https://www.youtube.com/@AlexGonzagaOfficial
Sales Lady For A Day at SM by Alex Gonzaga,"Alex finally fulfills her childhood dream of becoming a sales lady at SM — customers had no idea!",challenges,funny,,4100000,52000,2025-07-20,false,https://www.youtube.com/@AlexGonzagaOfficial
Tata as Polly's Yaya by Alex Gonzaga,"Alex becomes baby Polly's yaya for a day — playtime chaos and the cutest moments ever.",family,wholesome,,3200000,48000,2025-06-10,false,https://www.youtube.com/@AlexGonzagaOfficial
Probinsya Life Part 1 with Kamangyan by Alex Gonzaga,"Alex teams up with Kamangyan for the ultimate probinsya (province) life experience.",collabs,funny,,3800000,41000,2025-04-05,false,https://www.youtube.com/@AlexGonzagaOfficial
Probinsya Life Part 2 with Kamangyan by Alex Gonzaga,"The probinsya adventure continues with even more laughs and unexpected moments.",collabs,funny,,3200000,38000,2025-04-12,false,https://www.youtube.com/@AlexGonzagaOfficial
Learning How to Talk with Ms Tata by Alex Gonzaga,"Tata Alex teaches baby Polly how to talk — the cutest and funniest tutorial ever.",family,wholesome,,2600000,32000,2025-05-08,false,https://www.youtube.com/@AlexGonzagaOfficial
Double Date sa Italy by Alex Gonzaga,"Alex and Mikee go on a double date with Toni and Paul in Italy — European chaos Gonzaga style.",travel,kilig,,500000,13600,2024-10-05,false,https://www.youtube.com/@AlexGonzagaOfficial
First Time Ever sa Congpound by Alex Gonzaga,"Alex visits the famous Gonzaga compound for the first time — family bonding at its finest.",family,wholesome,,6253000,193400,2023-12-26,true,https://www.youtube.com/@AlexGonzagaOfficial
Horror House Challenge by Alex Gonzaga,"Alex takes on a horror house challenge — screaming the entire time.",challenges,chaotic,19:18,395000,17000,2023-12-03,false,https://www.youtube.com/@AlexGonzagaOfficial
Security Guard For A Day by Alex Gonzaga,"Alex becomes a security guard for a day — will she survive the shift?",challenges,funny,15:42,802000,29400,2023-11-26,false,https://www.youtube.com/@AlexGonzagaOfficial
Ninang Can't Say No by Alex Gonzaga,"As a ninang (godmother) Alex can't say no to anything her inaanak asks for — it gets expensive fast.",comedy,funny,18:13,2694000,104700,2023-11-19,false,https://www.youtube.com/@AlexGonzagaOfficial
Fishing and Mukbang sa Taal Lake by Alex Gonzaga,"A relaxing day of fishing at Taal Lake turned into a massive outdoor mukbang.",mukbang,wholesome,16:07,1170000,29400,2023-11-12,false,https://www.youtube.com/@AlexGonzagaOfficial
Yayamanin House Raid by Alex Gonzaga,"Alex raids the house of the rich and famous — expect jaw-dropping reveals.",comedy,savage,,2941000,51600,2023-11-05,false,https://www.youtube.com/@AlexGonzagaOfficial
Jail For A Day by Alex Gonzaga,"Alex spends an entire day inside a real jail — eye-opening and hilarious.",challenges,chaotic,11:13,2234000,61500,2023-10-22,false,https://www.youtube.com/@AlexGonzagaOfficial
Ate's Baby Shower by Alex Gonzaga,"Alex throws the most over-the-top baby shower for Ate Toni — emotional and chaotic.",family,emotional,,2391000,65900,2023-06-17,false,https://www.youtube.com/@AlexGonzagaOfficial
Four Sisters and a Welding by Alex Gonzaga,"The iconic JejFlix parody that broke the internet — Alex's most viewed video ever.",comedy,funny,,17800000,869900,2019-08-10,true,https://www.youtube.com/@AlexGonzagaOfficial
AMANPULO by Alex Gonzaga,"Alex's luxury Amanpulo travel vlog — stunning views and peak Alex energy.",travel,wholesome,,16000000,413800,2019-11-23,false,https://www.youtube.com/@AlexGonzagaOfficial
